date_times,id,pic_url,price,retailer,title,url
2017-04-24T07:43:48.156925+00:00,37,https://n1.sdlcdn.com/imgs/a/i/9/large/Sony-MDR-HW300K-Home-Wireless-SDL365031386-1-077cf.jpg,6399,AMAZON INDIA,Sony MDR-HW300K On-Ear Home Wireless Hi-Fi Headphones (Black) Without Mic,
2017-04-24T07:43:48.168461+00:00,38,https://n1.sdlcdn.com/imgs/b/t/g/large/Sony-KLV-32R412D-81-cm-SDL049486513-1-c6b48.jpg,27500,AMAZON INDIA,Sony KLV-32R412D 80 cm (32) HD Ready (HDR) LED Television,
2017-04-24T07:43:48.179166+00:00,39,https://n1.sdlcdn.com/imgs/b/s/4/large/Sony-XB650BT-On-Ear-Bluetooth-SDL441632103-1-19dd3.jpg,6488,AMAZON INDIA,Sony MDR-XB650BT On-Ear Extra Bass(XB) Headphones with Bluetooth & NFC (Blue),
2017-04-24T07:43:48.190746+00:00,40,https://n1.sdlcdn.com/imgs/a/p/n/large/Sony-MDR-XB950BT-Over-the-SDL107970984-1-33f18.jpg,10451,AMAZON INDIA,Sony MDR-XB950BT On-Ear Bluetooth Premium Extra Bass (XB) Headphones (Black) With Mic,
2017-04-24T07:43:48.201458+00:00,41,https://n1.sdlcdn.com/imgs/a/h/r/large/Sony-MDR-S70AP-with-MIC-SDL788070382-1-6dd48.jpg,4000,AMAZON INDIA,Sony MDR-S70AP On Ear Headphones with Mic (White),
2017-04-24T07:43:48.212610+00:00,42,https://n1.sdlcdn.com/imgs/e/q/b/large/Sony-MDR-XB450-On-Ear-SDL112266046-1-03521.jpg,1599,AMAZON INDIA,Sony MDR-XB450 On-Ear EXTRA BASS Headphones (Blue),
2017-04-24T07:43:48.223873+00:00,43,https://n1.sdlcdn.com/imgs/a/j/g/large/Sony-BDV-E3200-One-Touch-SDL567152016-1-5b4d6.jpg,25299,AMAZON INDIA,Sony BDV-E3200 5.1 Blu Ray Home Theatre System,
2017-04-24T07:43:48.235328+00:00,44,https://n1.sdlcdn.com/imgs/a/n/e/large/Sony-MDR-XB250-BQIN-Extra-SDL005822083-1-adc0e.jpeg,1399,AMAZON INDIA,Sony MDR-XB250/BQIN Over Ear Headphones (Black),
2017-04-24T07:43:48.245859+00:00,45,https://n1.sdlcdn.com/imgs/e/s/y/large/Sony-MDRZX110-On-Ear-Stereo-SDL338969589-1-89c35.jpg,749,AMAZON INDIA,Sony MDRZX110 On-Ear Stereo Headphone (Black),
2017-04-24T07:43:48.256978+00:00,46,https://n1.sdlcdn.com/imgs/a/i/r/large/Sony-MDR-E15AP-Black-Headphone-SDL868702496-1-8eac8.jpg,776,AMAZON INDIA,Sony MDR EX15AP In Ear Earphones with Mic (Black),
2017-04-24T07:43:48.268288+00:00,47,https://n1.sdlcdn.com/imgs/b/u/5/large/Sony-KLV-48W562D-122-cm-SDL763355354-1-54740.jpg,63100,AMAZON INDIA,Sony BRAVIA KLV-48W562D 120.9 cm (48) Smart Full HD LED Television,
2017-04-24T07:43:48.279161+00:00,48,https://n1.sdlcdn.com/imgs/a/k/w/large/Sony-BDV-N7200W-5-1-SDL419784563-1-0ec34.jpg,43299,AMAZON INDIA,Sony BDV-N7200W 5.1 3D Blu-ray Home Theatre System,
2017-04-24T07:43:48.290669+00:00,49,https://n1.sdlcdn.com/imgs/a/3/n/large/Sony-HD-SL1-1TB-External-SDL577689803-1-091f7.jpg,5100,AMAZON INDIA,Sony HD-SL1 1TB External Slim Hard Disk - Silver,
2017-04-24T07:43:48.301413+00:00,50,https://n1.sdlcdn.com/imgs/e/p/h/large/SDL678685750_13-f3625.jpg,640,AMAZON INDIA,Sony Usb 2.1 Amp Ac Adaptor Cp-ad2 With Micro Usb Cable,
2017-04-24T07:43:48.312504+00:00,51,https://n1.sdlcdn.com/imgs/f/f/o/large/Sony-ZX110A-Over-Ear-Wired-SDL215117994-1-83f8e.jpg,799,AMAZON INDIA,Sony ZX110A Over Ear Wired Headphones Without Mic,
2017-04-24T07:43:48.324205+00:00,52,https://n1.sdlcdn.com/imgs/e/o/r/large/Sony-ZX110BK-Over-Ear-Wired-SDL289721040-1-8d765.jpg,749,AMAZON INDIA,Sony ZX110BK Over Ear Wired Headphones Without Mic Black,
2017-04-24T07:43:48.335240+00:00,53,https://n1.sdlcdn.com/imgs/a/u/p/large/Sony-SRS-X2-Ultra-Portable-SDL377895754-1-f1379.jpg,2799,AMAZON INDIA,Sony PUMPX (SRS-X2) Ultra Portable Bluetooth Speaker - Black,
2017-04-24T07:43:48.345837+00:00,54,https://n1.sdlcdn.com/imgs/a/7/j/large/Sony-MDR-EX150AP-In-ear-SDL709097897-1-1d6b4.jpg,1450,AMAZON INDIA,Sony MDR-EX150AP In-Ear Headphones with Mic (Red),
